Tester ID/Tester Station: /CP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test End Date           : Sat Mar 23 22:28:44 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail Retest Rate        : 2.141328 % (Gross:2335, Sample:2385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence All ON         : NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreLoad Pat(Time)       :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft Current User      : Oper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft Version           : CRAFT_3380_2.60-SP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OutPut TDO              :  WaferMapTDO SummaryTDO DataLogTDO STDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Card No             : 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rom Code                : 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sample   Pass   Pass%   Fail   Fail%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   2335   2202    94.3    133     5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--
,,,,,GPIO0,GPIO1,GPIO2,GPIO3,GPIO4,GPIO5,DN,DP,DN,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV
0,58,58,68,30,-511.828,-515.236,-514.676,-515.349,-517.898,-515.95,-463.73,-452.841,-508.132,13.64,13.334,13.64,13.181,13.181,13.181,13.334,13.028,13.334,13.181,13.028,13.028,13.487,13.181,13.028,13.487,12.875,13.181,13.181,13.64,13.334,13.334,13.181,13.181,12.875,13.334,13.334,13.64,13.181,13.487,13.334,13.181,13.028,13.334,13.181,13.334,13.028,13.334,13.181,13.334,13.181,13.028,13.487,13.334,13.028,13.028,13.334,13.64,13.487,13.334,13.181,13.028,13.64,13.181,13.487,13.64,13.334,13.487,13.334,13.487,13.181,13.334,13.487,13.028,13.181
1,58,58,131,50,-512.837,-515.841,-515.499,-516.188,-518.699,-519.755,-466.318,-454.25,-504.596,15.909,15.909,15.909,16.062,16.215,15.909,16.215,15.756,16.062,16.062,16.062,15.909,16.062,16.062,16.062,16.062,15.909,16.062,15.909,15.909,15.756,15.909,15.909,16.062,15.909,16.062,16.062,15.756,15.909,15.909,16.062,16.062,16.062,15.909,16.215,15.756,16.062,16.062,15.909,15.909,15.909,15.909,15.909,16.062,16.062,15.909,16.062,15.909,16.215,15.909,16.215,16.062,15.909,15.909,15.909,15.909,16.062,16.062,16.062,16.062,15.909,16.062,15.909,16.215,16.062
2,58,58,130,50,-512.257,-515.632,-514.959,-515.046,-518.702,-518.698,-466.043,-454.288,-503.66,13.143,13.143,12.99,13.143,13.449,13.143,13.449,12.99,13.296,13.296,13.449,13.143,13.449,13.449,13.449,13.296,13.143,13.602,12.99,12.99,13.143,13.143,12.99,13.296,13.143,13.296,13.449,12.99,13.296,13.143,13.296,13.296,13.449,12.837,13.449,12.99,13.143,13.296,13.143,12.99,13.143,13.143,13.296,13.296,12.99,13.143,13.449,13.143,13.449,13.143,13.296,13.296,13.143,12.99,13.143,12.99,13.143,13.449,13.296,13.296,12.99,13.143,13.143,13.449,13.449
3,58,58,68,31,-512.926,-515.742,-515.922,-516.817,-518.905,-518.756,-464.98,-453.418,-511.304,14.666,15.277,14.666,14.971,14.971,14.971,15.277,14.971,14.818,14.971,14.971,14.971,14.818,14.971,14.971,14.818,14.513,15.124,15.124,14.666,15.124,14.666,14.666,14.513,15.124,14.666,14.666,14.513,14.971,14.666,14.818,14.818,14.818,14.971,14.818,14.971,14.818,14.971,15.124,14.666,14.666,15.277,14.513,14.513,15.124,14.818,14.513,14.818,14.666,14.513,14.666,15.124,14.666,14.513,14.666,14.818,14.971,14.513,14.971,14.971,14.818,14.666,15.124,14.971,15.277
4,58,58,67,31,-513.062,-516.322,-516.222,-516.19,-515.789,-517.583,-466.443,-454.577,-510.843,15.631,16.243,15.784,16.09,15.784,15.937,16.09,15.784,15.631,15.784,15.784,15.937,15.784,15.631,15.937,15.479,15.631,15.937,15.937,15.631,16.09,15.479,15.631,15.479,15.937,15.631,15.631,15.631,15.937,15.479,15.784,15.784,15.784,15.784,15.784,15.937,15.784,15.937,15.937,15.631,15.631,15.784,15.631,15.479,16.09,15.631,15.631,15.937,15.631,15.631,15.784,16.243,15.784,15.631,15.631,15.784,15.937,15.631,15.937,16.09,15.631,15.937,16.09,15.784,16.243
5,58,58,68,32,-511.981,-515.083,-514.829,-515.502,-518.356,-517.936,-463.883,-452.381,-506.601,13.487,13.64,13.793,13.793,13.64,13.487,13.793,13.946,13.487,13.487,13.64,13.487,13.64,13.64,13.487,13.946,13.487,13.334,13.946,13.64,13.793,13.487,13.487,13.487,13.793,13.946,13.946,13.946,13.487,13.946,13.64,13.487,13.64,13.64,13.946,13.64,14.099,13.334,13.64,13.793,13.487,13.64,13.487,13.487,13.946,13.487,13.793,13.487,13.793,13.487,13.793,13.334,13.946,13.793,13.487,13.64,13.793,13.334,13.946,13.946,13.64,13.64,13.487,13.946,13.946
6,58,58,67,32,-512.684,-515.534,-515.193,-515.882,-518.24,-518.839,-466.012,-454.557,-508.271,13.155,13.308,13.461,13.308,13.461,13.155,13.155,13.461,13.308,13.308,13.308,13.308,13.155,13.308,13.155,13.461,13.155,13.155,13.461,13.461,13.308,13.155,13.308,13.308,13.461,13.461,13.461,13.461,13.155,13.461,13.308,13.308,13.308,13.308,13.461,13.461,13.614,13.155,13.308,13.308,13.155,13.308,13.461,13.308,13.461,13.308,13.461,13.308,13.461,13.155,13.461,13.155,13.308,13.461,13.308,13.308,13.614,13.155,13.461,13.461,13.461,13.308,13.308,13.614,13.461
7,58,58,68,33,-513.078,-516.047,-516.075,-517.275,-518.905,-519.368,-464.827,-453.571,-509.316,16.041,15.735,15.735,16.194,15.888,15.583,16.041,15.888,15.735,16.041,15.888,15.583,15.735,15.583,15.43,15.43,16.041,16.041,15.888,16.041,15.735,16.194,15.888,16.194,15.888,15.888,15.888,15.583,15.43,15.735,15.888,15.888,15.888,16.041,15.583,15.735,15.43,15.277,15.583,16.041,15.888,15.888,15.888,15.583,15.583,15.43,15.43,15.583,15.735,16.041,15.735,15.583,16.194,15.43,16.041,15.583,16.194,15.43,16.041,15.888,16.041,15.735,16.041,15.583,16.041
8,58,58,67,33,-513.368,-516.322,-516.375,-516.496,-518.538,-518.041,-465.831,-454.73,-509.619,15.173,14.867,14.867,15.326,14.867,14.714,15.173,14.867,14.867,15.173,15.02,14.867,14.867,14.714,14.714,14.714,15.173,15.173,15.02,15.173,15.02,15.173,15.02,15.326,15.02,15.02,15.326,14.867,14.867,14.867,15.02,14.867,14.867,15.173,14.562,14.714,14.714,14.562,14.714,15.173,15.02,15.02,15.02,14.867,14.867,14.714,14.714,14.714,14.867,15.02,14.867,14.867,15.173,14.867,15.02,14.714,15.173,14.714,15.02,15.02,15.02,14.714,15.173,14.714,14.867
9,58,58,68,34,-512.441,-515.696,-515.288,-515.502,-518.815,-518.7,-464.496,-452.841,-508.285,14.252,14.558,14.405,14.405,14.405,14.405,14.099,14.405,14.558,14.099,13.946,14.405,14.099,14.252,13.946,14.252,14.099,13.946,14.099,14.252,13.793,13.946,13.946,14.099,14.405,14.252,14.099,14.405,13.946,13.793,14.252,14.252,14.252,14.099,14.099,14.099,14.558,14.405,14.405,13.946,14.099,14.099,13.793,14.099,14.252,13.946,13.946,14.405,14.405,13.946,14.405,14.099,14.252,13.64,14.405,14.099,14.252,14.405,13.946,13.946,14.099,14.252,13.946,13.946,14.099
10,58,58,67,34,-513.297,-516.147,-515.805,-516.494,-519.31,-520.213,-467.083,-455.169,-509.649,14.838,15.144,14.991,14.991,14.838,14.838,14.685,14.991,14.991,14.685,14.532,14.838,14.685,14.685,14.685,14.991,14.685,14.685,14.685,14.838,14.685,14.685,14.685,14.685,14.991,14.838,14.685,14.991,14.838,14.532,14.838,14.838,14.991,14.685,14.838,14.685,14.991,14.991,14.838,14.838,14.685,14.685,14.838,14.838,14.838,14.838,14.685,14.838,14.991,14.532,14.991,14.838,14.838,14.685,14.838,14.685,14.991,14.838,14.685,14.685,14.991,14.991,14.685,14.685,14.838
11,58,58,66,34,-512.257,-515.632,-514.653,-514.893,-517.171,-518.085,-466.196,-454.746,-508.706,13.296,13.755,13.602,13.755,13.755,13.602,13.449,13.602,13.602,13.296,13.143,13.449,13.449,13.296,13.296,13.602,13.143,13.296,13.296,13.602,13.296,13.143,13.296,13.449,13.755,13.602,13.449,13.755,13.296,13.143,13.602,13.602,13.755,13.296,13.602,13.449,13.755,13.602,13.602,13.449,13.449,13.449,13.143,13.602,13.602,13.449,13.449,13.449,13.602,13.296,13.602,13.296,13.449,13.143,13.755,13.296,13.602,13.755,13.449,13.296,13.602,13.602,13.449,13.296,13.602
12,58,58,68,35,-513.231,-516.353,-516.533,-517.275,-518.905,-519.521,-465.592,-453.724,-508.246,16.194,16.194,15.888,15.583,16.5,16.041,15.888,16.041,16.5,16.347,16.041,16.041,15.888,16.194,16.347,16.194,16.041,16.347,15.888,16.347,16.194,16.194,16.041,16.041,15.888,15.735,15.735,15.888,16.5,16.194,15.888,15.888,16.041,16.041,16.194,16.5,16.041,16.194,16.194,16.347,16.194,16.347,15.888,16.347,16.194,16.5,15.888,16.347,15.888,16.194,16.041,15.735,16.194,15.735,15.735,16.194,16.041,15.888,15.735,16.5,15.888,15.735,15.888,15.735,16.041
13,58,58,67,35,-514.132,-516.934,-517.139,-516.955,-519.607,-518.652,-466.903,-455.036,-508.088,15.784,15.784,15.479,15.173,15.631,15.479,15.479,15.326,15.784,15.631,15.173,15.326,15.173,15.479,15.631,15.479,15.326,15.631,15.479,15.479,15.326,15.631,15.479,15.326,15.479,15.326,15.326,15.326,15.631,15.479,15.173,15.326,15.631,15.479,15.326,15.631,15.326,15.479,15.326,15.631,15.631,15.631,15.326,15.784,15.479,15.631,15.02,15.631,15.326,15.479,15.479,15.173,15.631,15.02,15.173,15.479,15.479,15.02,15.326,15.631,15.326,15.326,15.173,15.173,15.479
14,58,58,66,35,-512.869,-515.932,-516.267,-516.486,-516.2,-517.54,-466.542,-454.623,-508.726,14.573,14.573,14.267,14.267,14.573,14.267,14.267,14.42,14.573,14.573,14.42,14.42,14.42,14.42,14.726,14.573,14.42,14.573,14.573,14.573,14.573,14.573,14.726,14.42,14.267,14.267,14.267,14.42,14.726,14.42,14.267,14.42,14.573,14.573,14.42,14.726,14.267,14.573,14.42,14.726,14.573,14.726,14.42,14.726,14.573,14.573,14.573,14.573,14.42,14.573,14.42,14.267,14.573,14.267,14.267,14.42,14.267,14.267,14.42,14.573,14.42,14.267,14.42,14.267,14.42
15,58,58,65,35,-511.756,-514.893,-515.073,-514.511,-517.322,-516.81,-465.859,-453.637,-506.729,13.926,13.926,13.62,13.16,13.773,13.62,13.467,13.467,13.926,13.926,13.467,13.467,13.467,13.62,13.926,13.773,13.62,13.926,13.62,13.773,13.62,13.773,13.773,13.62,13.313,13.62,13.313,13.467,13.926,13.773,13.62,13.467,13.926,13.62,13.467,13.926,13.467,13.926,13.773,13.773,13.773,13.926,13.467,13.926,13.773,13.926,13.313,14.079,13.467,13.773,13.773,13.313,13.926,13.467,13.313,13.62,13.62,13.313,13.467,13.773,13.467,13.313,13.467,13.313,13.773
16,58,58,68,36,-512.135,-515.236,-514.982,-515.502,-516.218,-517.783,-464.496,-452.994,-507.52,14.558,14.558,14.252,14.099,14.252,14.252,13.946,14.099,13.946,14.405,14.099,14.405,14.099,13.793,13.946,13.946,14.252,13.946,14.252,14.252,13.793,14.405,14.252,13.793,13.793,14.405,14.252,14.405,14.252,13.946,14.558,13.946,13.64,14.252,14.405,13.793,13.946,14.099,14.099,14.252,13.946,14.099,13.793,14.252,14.252,13.64,14.558,14.252,13.946,14.099,14.252,14.405,14.099,14.405,13.793,14.405,13.793,14.558,14.099,14.405,14.405,14.099,14.099,14.099,14.099
17,58,58,67,36,-512.837,-515.841,-515.499,-516.188,-518.699,-519.603,-466.624,-455.016,-506.893,13.767,13.767,13.767,13.614,13.767,13.614,13.461,13.614,13.614,13.767,13.461,13.614,13.614,13.461,13.614,13.461,13.614,13.461,13.614,13.614,13.461,13.614,13.767,13.461,13.461,13.614,13.614,13.767,13.614,13.461,13.767,13.461,13.461,13.767,13.614,13.461,13.461,13.614,13.461,13.614,13.461,13.614,13.461,13.614,13.614,13.308,13.767,13.767,13.308,13.614,13.614,13.767,13.461,13.614,13.461,13.767,13.461,13.767,13.614,13.767,13.767,13.461,13.461,13.461,13.614
18,58,58,66,36,-512.409,-515.632,-515.265,-515.199,-517.171,-517.932,-465.737,-454.746,-506.412,13.296,13.602,13.449,13.296,13.296,13.296,13.143,13.296,13.143,13.602,13.143,13.296,13.296,12.99,12.99,13.143,13.449,12.99,13.296,13.143,13.143,13.449,13.296,13.143,13.143,13.449,13.449,13.602,13.143,13.296,13.296,13.143,12.99,13.296,13.449,12.99,13.143,13.143,13.449,13.296,13.143,13.449,13.143,13.449,13.143,12.99,13.755,13.449,12.99,13.296,13.296,13.449,13.296,13.449,12.99,13.296,13.143,13.602,13.143,13.296,13.449,13.449,13.143,12.99,13.296
19,58,58,65,36,-511.537,-514.305,-514.689,-515.061,-517.898,-518.395,-465.495,-453.865,-507.776,12.625,12.778,12.931,12.625,12.778,12.778,12.318,12.625,12.625,12.931,12.471,12.625,12.625,12.165,12.471,12.625,12.778,12.318,12.931,12.778,12.165,12.778,12.778,12.471,12.318,12.778,12.778,13.084,12.778,12.625,13.084,12.471,12.165,12.778,12.625,12.318,12.471,12.471,12.471,12.778,12.471,12.778,12.625,12.931,12.625,12.471,12.931,12.778,12.625,12.625,12.778,12.931,12.625,12.931,12.625,12.625,12.471,12.931,12.778,12.778,12.931,12.625,12.778,12.318,12.778
20,58,58,68,37,-512.926,-515.894,-516.227,-517.122,-518.752,-519.215,-465.286,-453.418,-507.176,16.194,16.194,16.041,16.194,16.194,15.888,16.194,15.888,15.735,16.041,15.735,16.194,16.041,16.194,15.735,16.041,15.735,16.347,15.888,15.583,15.735,15.583,16.041,15.735,16.194,16.041,15.583,15.583,15.735,16.347,16.041,15.583,15.735,15.888,15.888,15.583,16.194,16.194,16.194,16.347,15.888,15.735,15.583,16.041,15.735,16.041,16.041,16.041,15.888,15.888,15.735,16.347,16.041,15.735,16.041,16.041,15.735,15.735,15.583,16.041,16.194,15.735,16.194,15.888,15.735
21,58,58,67,37,-513.215,-516.475,-516.986,-516.496,-518.844,-518.347,-468.434,-456.414,-507.322,15.173,15.326,15.02,15.326,15.326,14.867,15.631,15.173,14.867,15.02,15.02,15.326,15.02,15.326,15.02,15.173,15.02,15.631,15.02,15.02,15.02,14.867,15.173,14.867,15.326,15.173,15.02,14.867,15.173,15.479,15.173,15.02,14.867,15.02,15.02,14.867,15.326,15.173,15.479,15.631,15.02,15.173,15.02,15.326,14.867,15.02,15.173,15.173,15.173,15.173,14.867,15.326,15.02,15.02,15.326,15.326,15.02,14.867,15.02,15.173,15.479,15.02,15.326,15.02,15.02
22,58,58,66,37,-513.48,-516.237,-516.879,-517.405,-518.8,-519.528,-469.61,-457.384,-508.266,16.41,16.257,16.104,16.257,16.104,15.951,16.41,16.104,16.104,16.104,16.104,16.41,15.951,16.41,16.104,16.257,16.104,16.41,16.104,16.104,16.104,16.104,16.257,15.951,16.41,16.104,16.104,16.104,16.104,16.257,16.257,16.104,16.104,15.951,16.104,16.104,16.257,16.257,16.41,16.41,15.951,16.257,15.951,16.104,16.104,16.104,16.257,16.104,16.104,16.104,15.951,16.257,15.951,16.104,16.257,16.257,16.104,15.951,15.951,16.104,16.257,16.104,16.257,16.104,16.104
23,58,58,65,37,-512.367,-515.504,-515.686,-515.584,-518.087,-517.421,-468.614,-456.852,-505.811,14.079,13.773,13.773,13.926,13.926,13.467,14.079,13.926,13.62,13.773,13.467,14.233,13.773,14.233,13.62,13.773,13.62,14.079,13.926,13.62,13.62,13.467,13.773,13.62,14.079,13.773,13.773,13.467,13.926,14.233,14.079,13.62,13.467,13.467,13.773,13.62,14.079,14.079,14.233,14.233,13.62,13.773,13.467,13.773,13.926,14.079,13.926,14.079,13.773,13.773,13.773,13.926,13.773,13.773,14.079,14.079,13.62,13.467,13.773,13.926,14.079,13.773,14.079,13.62,13.773
24,58,58,64,37,-512.06,-515.03,-514.998,-514.916,-517.243,-517.829,-468.215,-455.931,-505.576,12.679,12.679,12.985,12.526,12.679,12.679,12.679,12.832,12.985,12.832,12.985,12.526,12.832,12.526,12.985,12.985,12.985,12.526,12.679,13.137,13.137,12.679,12.679,12.832,12.679,12.679,12.679,12.679,12.985,12.679,12.832,12.985,12.985,12.679,12.985,12.985,12.832,12.526,12.679,12.526,12.985,12.832,12.985,12.985,12.679,12.526,12.679,12.526,12.985,12.985,12.985,12.832,12.832,12.985,12.985,12.373,12.985,12.985,13.137,12.832,12.526,12.985,12.373,12.985,12.985
25,58,58,68,38,-511.981,-515.389,-514.982,-515.349,-516.37,-515.95,-466.18,-454.372,-507.213,14.252,14.099,14.099,13.946,14.252,13.793,13.793,14.252,14.252,14.099,13.946,14.099,13.946,14.099,14.405,14.099,14.252,14.099,13.946,14.252,14.405,14.099,14.405,13.946,13.946,14.405,13.946,14.405,14.099,14.252,13.946,13.946,13.946,14.405,14.252,13.946,13.793,13.793,14.099,13.946,13.946,13.793,14.099,13.946,14.252,13.64,13.793,14.099,13.64,14.099,13.64,13.946,13.946,13.946,13.946,13.946,13.64,14.252,13.946,14.099,13.946,14.099,14.405,14.405,14.252
26,58,58,67,38,-512.684,-515.994,-515.652,-516.494,-517.171,-517.922,-468.308,-456.853,-506.127,15.297,15.144,14.991,14.991,15.144,14.991,15.144,15.144,15.144,15.297,14.991,15.144,14.991,15.144,15.297,15.297,15.144,14.991,14.991,14.991,15.144,15.144,15.297,14.991,14.838,15.144,14.991,15.144,15.144,15.144,14.991,14.991,14.991,15.144,15.144,14.991,14.991,14.991,15.144,14.838,14.991,14.991,15.144,14.991,15.297,14.991,14.991,15.144,14.991,15.144,14.838,14.991,15.144,14.991,14.991,14.991,14.991,15.144,15.144,15.297,15.144,15.144,15.297,15.297,15.297
27,58,58,66,38,-512.715,-516.243,-515.265,-515.505,-517.017,-516.86,-467.572,-456.582,-505.648,14.215,13.909,13.909,14.062,14.062,13.755,13.909,14.062,14.062,14.062,13.909,14.215,13.755,14.062,14.062,14.215,14.062,13.909,13.909,14.062,14.215,13.909,14.062,13.755,13.909,14.062,13.909,14.062,14.062,14.062,13.909,13.909,13.909,14.368,14.062,14.062,13.909,13.755,14.062,13.755,14.062,13.755,14.062,13.755,14.062,13.755,13.755,14.062,13.602,13.909,13.602,14.062,13.755,13.755,14.062,13.755,13.755,14.062,13.909,14.062,14.062,14.062,14.368,14.215,14.215
28,58,58,65,38,-511.537,-514.458,-514.536,-515.214,-515.91,-517.019,-467.333,-456.01,-505.785,12.778,12.471,12.471,12.471,12.931,12.165,12.471,12.931,12.778,12.625,12.625,12.778,12.318,12.471,12.778,12.625,12.778,12.625,12.471,12.625,12.931,12.471,12.778,12.318,12.318,12.778,12.471,12.778,12.625,12.778,12.318,12.471,12.165,12.931,12.778,12.318,12.318,12.318,12.625,12.471,12.471,12.318,12.778,12.625,12.625,12.165,12.318,12.625,12.165,12.471,12.318,12.318,12.318,12.471,12.471,12.318,12.318,12.625,12.165,12.625,12.471,12.778,12.931,12.778,12.778
29,58,58,64,38,-511.964,-515.331,-515.004,-514.713,-516.132,-516.166,-466.292,-453.969,-507.258,12.625,12.32,12.014,12.32,12.167,12.014,12.014,12.014,12.778,12.473,12.167,12.778,12.778,12.32,12.32,12.473,12.778,12.473,12.473,12.32,12.32,12.167,12.778,12.167,12.473,12.32,12.32,12.014,12.473,12.32,12.778,12.625,12.473,12.014,12.473,12.473,12.167,12.014,12.32,12.625,12.473,12.167,12.167,12.778,12.32,12.32,12.32,12.625,12.625,12.473,12.32,11.861,12.32,12.473,12.473,12.167,12.473,12.014,12.32,12.625,12.625,12.167,12.625,12.32,12.167
